学习内容,Day,完成,本地文件,核心目标,状态,阶段,预计小时
Day 07｜ShapeFlags、PatchFlags 与 SlotFlags,7,No,docs/source-reading/daily/http://day-07-flags-contract.md,ShapeFlags 描述 VNode 结构，PatchFlags 描述编译器已知的变化集合,未开始,共享协议,3
Day 06｜输入规范化、展示与 HTML 安全,6,No,docs/source-reading/daily/http://day-06-shared-normalization-security.md,理解 class/style 多形态输入的递归归一与覆盖顺序,未开始,共享协议,3
Day 10｜setter、delete、has 与 ownKeys,10,No,docs/source-reading/daily/http://day-10-base-mutations.md,区分 ADD 与 SET，理解数组索引和 length,未开始,响应式系统,3
Day 09｜BaseReactiveHandler.get 读取路径,9,No,docs/source-reading/daily/http://day-09-base-getter.md,按内部 flags、数组 instrumentation、Reflect.get、track、包装顺序理解热路径,未开始,响应式系统,3
Day 02｜源码别名与 TypeScript 配置,2,No,docs/source-reading/daily/http://day-02-aliases-typescript.md,理解测试和开发构建如何把 @vue/ 指向 packages//src,未开始,工程基线,3
Day 08｜reactive 工厂与代理缓存,8,No,docs/source-reading/daily/http://day-08-reactive-factory.md,理解 reactive/readonly/shallow 的四张 WeakMap 缓存,未开始,响应式系统,3
Day 05｜general.ts 与 makeMap 基础工具,5,No,docs/source-reading/daily/http://day-05-shared-general.md,按哨兵、类型守卫、对象操作、命名转换、变化判断分类,未开始,共享协议,3
Day 01｜仓库全景与包依赖,1,No,docs/source-reading/daily/http://day-01-repository-map.md,区分 packages、packages-private、scripts 与根配置的职责,未开始,工程基线,3
Day 03｜开发构建、正式构建与产物格式,3,No,docs/source-reading/daily/http://day-03-build-system.md,区分 dev watch 与多 target 正式构建,未开始,工程基线,3
Day 04｜测试分层、类型检查与可执行基线,4,No,docs/source-reading/daily/http://day-04-tests-baseline.md,理解 unit、unit-jsdom、unit-gc、e2e 的隔离目的,未开始,工程基线,3
Day 16｜EffectScope 与资源生命周期,16,No,docs/source-reading/daily/http://day-16-effect-scope.md,scope 收集 effects、cleanups 与 child scopes,未开始,响应式系统,3
Day 17｜ref、toRef、proxyRefs 与 customRef,17,No,docs/source-reading/daily/http://day-17-ref-system.md,RefImpl 同时保存 raw 与包装后的 value,未开始,响应式系统,3
Day 15｜trigger、notify 与响应式批处理,15,No,docs/source-reading/daily/http://day-15-effect-notify-batch.md,Dep 与 globalVersion 在 trigger 时递增,未开始,响应式系统,3
Day 20｜响应式全链路复刻与验收,20,No,docs/source-reading/daily/http://day-20-reactivity-synthesis.md,把 Proxy、Dep/Link、effect、ref/computed/watch 串成统一数据流,未开始,响应式系统,3
Day 19｜watch source、traverse 与 cleanup,19,No,docs/source-reading/daily/http://day-19-watch-core.md,ref/reactive/getter/多 source 统一成 getter,未开始,响应式系统,3
Day 12｜Map、Set 与弱集合代理,12,No,docs/source-reading/daily/http://day-12-collection-handlers.md,Map/Set 内部槽需要专用 instrumentation,未开始,响应式系统,3
Day 14｜http://ReactiveEffect.run 与增量清理,14,No,docs/source-reading/daily/http://day-14-effect-run-cleanup.md,run 前 prepareDeps 把旧 link 标成未使用,未开始,响应式系统,3
Day 18｜computed 的双重身份与版本快路径,18,No,docs/source-reading/daily/http://day-18-computed-system.md,ComputedRefImpl 既是 subscriber 又拥有 dep,未开始,响应式系统,3
Day 13｜Dep、Link 与依赖图,13,No,docs/source-reading/daily/http://day-13-dep-link-model.md,建立 targetMap → depsMap → Dep → Link → Subscriber 对象模型,未开始,响应式系统,3
Day 11｜数组方法的响应式适配,11,No,docs/source-reading/daily/http://day-11-array-instrumentations.md,搜索方法需兼容 raw/proxy 身份,未开始,响应式系统,3
Day 21｜VNode 数据模型与特殊节点,21,No,docs/source-reading/daily/http://day-21-vnode-model.md,VNode 是渲染描述与运行状态载体，不是 DOM 包装,未开始,运行时模型,3
Day 29｜createApp、Provide/Inject 与生命周期 API,29,No,docs/source-reading/daily/http://day-29-app-context-apis.md,AppContext 隔离 components/directives/provides/config/caches,未开始,运行时模型,3
Day 25｜Props 声明规范化、初始化与更新,25,No,docs/source-reading/daily/http://day-25-component-props.md,normalizePropsOptions 缓存声明并合并 mixins/extends,未开始,运行时模型,3
Day 26｜Emits 规范化与事件派发,26,No,docs/source-reading/daily/http://day-26-component-emits.md,normalizeEmitsOptions 合并与缓存声明,未开始,运行时模型,3
Day 23｜h API 与编译器运行时 Helpers,23,No,docs/source-reading/daily/http://day-23-h-render-helpers.md,h 的多重重载最终归一到 createVNode,未开始,运行时模型,3
Day 27｜Slots 初始化、更新与渲染上下文,27,No,docs/source-reading/daily/http://day-27-component-slots.md,对象 slots、VNode children 和函数 slot 被统一为函数返回 VNode 数组,未开始,运行时模型,3
Day 22｜createVNode、normalizeChildren 与 Block,22,No,docs/source-reading/daily/http://day-22-create-vnode-normalization.md,createVNode 处理 class/style、响应式 props、组件 class 与 shapeFlag,未开始,运行时模型,3
Day 24｜组件实例创建与 setup 流程,24,No,docs/source-reading/daily/http://day-24-component-instance-setup.md,createComponentInstance 建立父子、appContext、scope、proxy 和渲染状态,未开始,运行时模型,3
Day 28｜组件公开代理与 Options API 汇合,28,No,docs/source-reading/daily/http://day-28-public-instance-options.md,PublicInstanceProxyHandlers 按 setup/data/props/ctx/globalProperties 查找,未开始,运行时模型,3
Day 30｜异步组件与错误边界,30,No,docs/source-reading/daily/http://day-30-async-error-handling.md,defineAsyncComponent 管理 loader、delay、timeout、retry 与 suspense,未开始,运行时模型,3
Day 36｜Fragment、Static VNode 与 Block Tree,36,No,docs/source-reading/daily/http://day-36-fragments-static-blocks.md,Fragment 用 start/end anchor 表示无真实父元素的节点范围,未开始,渲染器,3
Day 33｜render、patch 与节点类型分派,33,No,docs/source-reading/daily/http://day-33-renderer-patch-dispatch.md,render 保存 container._vnode 并以 patch/unmount 统一更新,未开始,渲染器,3
Day 37｜mountComponent 首次组件挂载,37,No,docs/source-reading/daily/http://day-37-mount-component.md,mountComponent 创建实例、注入 renderer internals、处理 KeepAlive/SSR async setup,未开始,渲染器,3
Day 40｜patchChildren 的文本、数组与空值转换,40,No,docs/source-reading/daily/http://day-40-children-transitions.md,patchChildren 先消费 Fragment patch flags，再回退 shapeFlag 状态转换,未开始,渲染器,3
